Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/25/22,34,34,32,32.2,134,68377,2221773.2
7/22/22,33.5,34,33.1,33.5,138,80146,2702266.1
7/21/22,33.9,34.4,33.5,33.9,174,107842,3668644.9
7/20/22,33,33.9,32.9,33.5,173,50709,1690555.7
7/19/22,32,33.3,31.9,32.6,192,148735,4849632.6
7/18/22,31.9,32.5,31.5,31.9,189,114832,3668903.8
7/15/22,31,31.5,29.5,31.3,170,170736,5247001.1
7/14/22,30.2,30.2,29,29.9,93,104385,3096358.6
7/12/22,29.5,31.2,29.5,30.3,269,233561,7068863.5
7/11/22,26.2,29.8,26.2,29.1,243,212073,6038734.1
7/8/22,26.5,26.6,26,26.3,342,391454,10227727.5
7/7/22,28,28,26.5,26.6,340,404047,10831998.1
7/6/22,28.5,29,27.3,27.5,323,278797,7771850.4
7/5/22,30,30,28.5,28.6,381,439971,12765140.3
7/4/22,30.5,31,29.5,29.7,330,324142,9677369.4
7/1/22,30.5,31.2,30.5,31,106,83462,2575317.7
6/30/22,31,31,30,30.2,91,35141,1062144.3
6/29/22,30.1,31.2,29.6,30,221,494224,14831053.1
6/28/22,31,31,29.9,30,337,2102299,63118786.5
6/27/22,33,33,30.6,31.1,266,494449,15425772.7
6/24/22,33.9,33.9,32,32.2,312,1047060,33697744.3
6/23/22,33.9,33.9,32.8,33,118,102885,3398345.5
6/22/22,33.5,33.5,32.9,33,116,94590,3126150.3
6/21/22,33.5,33.5,32.8,33,126,66066,2182664
6/20/22,33.2,33.5,32.7,33,183,167504,5530563.4
6/17/22,34,34,33,33.2,152,62291,2071499.4
6/16/22,34.8,34.8,33.4,33.6,144,65965,2214809.9
6/15/22,34.8,34.8,33.5,33.6,192,153323,5155447.7
6/13/22,35,35,34,34.7,43,20456,710770.6
6/10/22,34.3,34.5,33.8,34,124,164485,5600111.9
6/9/22,34,34,33.5,33.9,106,149265,5056748.5
6/8/22,33.6,34.9,33.5,33.6,213,425800,14365638.6
6/7/22,34.9,34.9,33.5,33.6,284,547671,18478750.1
6/6/22,35.8,36,34,34.5,307,767715,26561339.3
6/3/22,37.5,37.5,35.8,36,171,3221947,116013943.5
6/2/22,37.5,37.5,36,36.2,153,339631,12379131.2
6/1/22,37,37,36,36.3,139,63789,2307143.3
5/31/22,37.6,37.6,36,36.6,152,180885,6607409.3
5/30/22,38,38,37,37.6,118,50535,1889801.9
5/27/22,38.7,38.7,37.1,37.7,185,131928,4983976
5/26/22,39.1,39.1,37.5,38.4,182,150354,5772487.3
5/25/22,39.9,39.9,39,39.2,89,19745,775317.4
5/24/22,39.8,40.2,38.9,39.6,124,74595,2965527.4
5/23/22,39,40,38.3,38.9,163,214524,8330425.9
5/20/22,39.5,39.5,38.5,38.8,74,24801,963516.2
5/19/22,39.9,39.9,38.5,38.9,145,166874,6488866.3
5/18/22,40.9,40.9,39.2,39.6,199,184333,7354380.8
5/17/22,38.9,41,38.9,39.5,269,209667,8302518.1
5/13/22,38,39.9,38,38.5,312,204397,7927145.9
5/12/22,36,37.8,35.8,36.9,218,180985,6632978.8
5/9/22,38,38,35.5,36,320,451526,16318125
5/6/22,37.5,38,37,37.6,137,44234,1661731.1
5/5/22,38,38,36.7,37.5,155,113001,4220011.7
