Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/15/22,73.3,79.9,73.3,77.2,101,90895,6941630.8
9/14/22,72,73.8,70,73,50,65887,4679111.4
9/13/22,70,72,70,70,49,532766,37303548.8
9/12/22,68,71.9,68,69.2,58,115527,7946794.1
9/9/22,67,68,66.4,67.2,24,53267,3619774.3
9/8/22,67,67,66.2,66.6,27,34596,2303734.8
9/7/22,65.5,68.9,65.5,67,20,16437,1095752.8
9/6/22,65.5,66,65.5,65.6,16,20507,1345249.5
9/5/22,67,67,65.1,65.7,38,208139,13686157.1
9/2/22,68,68,66.2,67.9,13,2254,152905.8
9/1/22,65,68,65,67.3,27,5475,362042.5
8/31/22,65.5,66,64.2,64.5,11,10844,699694
8/30/22,64.3,64.3,64.1,64.1,4,1390,89107
8/29/22,64,64.2,64,64.1,14,14119,904318
8/26/22,65,65,64,64.3,15,1984,128478.7
8/25/22,67,67,65,65.5,17,14863,966831.6
8/24/22,65.1,67,65.1,66.5,10,3104,204016
8/23/22,65.3,66.5,65,66.4,6,44710,2919680
8/22/22,66.5,67.8,64.1,65.3,28,138043,9003221.3
8/19/22,65.1,66.2,65,65.3,12,44613,2912948
8/18/22,65.6,68,65,65.2,33,16411,1069936.6
8/17/22,66,67,65.5,65.6,16,5535,363323
8/16/22,68.5,68.5,65.1,65.3,26,16272,1064124.4
8/15/22,69,69,64.1,65.9,32,8827,580925.2
8/12/22,68,69.5,67.5,68.4,21,7379,503229
8/10/22,63.5,69,63.5,67.5,14,1659,111827
8/9/22,63.2,72,63.2,64.1,29,7168,459214.9
8/8/22,70,75,63,64.1,52,36835,2557777.1
8/5/22,64.5,75,64,69.1,54,49006,3376426.8
8/4/22,63,65,63,64.8,9,1000,63903.6
8/3/22,61.2,63,60.6,62.8,16,12058,733736.2
8/2/22,61.6,61.6,61.3,61.6,22,5402,332673.2
8/1/22,62,62,61.4,61.7,2,347,21422.8
7/29/22,60.2,64.8,60.2,60.5,13,63743,3857693.2
7/28/22,60.2,63,60.2,60.2,16,9374,569604
7/27/22,60.3,60.3,60.2,60.2,5,2322,139884.4
7/26/22,60.2,60.2,60.2,60.2,1,507,30521.4
7/25/22,62.9,62.9,60.2,60.2,11,12122,732120.8
7/22/22,62.1,62.1,61,62.1,4,507,31482.5
7/21/22,62,63.7,62,62,4,1409,87360.6
7/20/22,62.5,63,62.5,62.9,10,9023,567173
7/19/22,62,62.5,61,62.3,10,2206,136660
7/18/22,62,62,62,62,3,708,43896
7/15/22,57.4,62,57.4,61.4,21,47786,2913439
7/14/22,58,58,57,57,4,10348,590341
7/12/22,58,59.8,58,57.7,3,51,2967.3
7/11/22,56.3,58,56,57.7,18,13247,758488.1
7/8/22,56.3,56.3,56.2,56.2,13,4319,242759.1
7/7/22,56.3,58,56.3,57.4,18,18943,1075912.2
7/6/22,59.5,59.5,56.2,56.3,17,119589,6802820.2
7/5/22,57,57.1,57,57,8,2667,152019.1
7/4/22,58,59,58,58,13,8510,493584
7/1/22,58,58.1,58,58,5,4480,259930
6/30/22,58.4,58.5,58,58,12,18025,1046600
6/29/22,58.5,59,58,58.1,6,2474,143838
6/28/22,58,58.4,58,58,17,39103,2268114
6/27/22,61,61,58,58.3,17,6815,398728.2
6/24/22,59.9,60,59.9,60,9,169597,10175450
6/23/22,59.9,61,59.9,60.1,11,1104,66200
6/22/22,60,62,59.9,60,22,145773,8746523.9
6/21/22,57,60,56.1,56.6,10,3732,215275.2
6/20/22,58,58.4,55.5,55.8,20,11048,625246.4
6/17/22,58.5,58.5,58,58.3,14,54118,3160328
6/16/22,59.5,60,58.5,58.9,13,22760,1339067.5
6/15/22,58.5,58.5,58,58.1,11,48716,2840565
6/13/22,60.9,60.9,58,58.1,17,836,48618.5
6/10/22,57.1,60,57.1,58.4,14,6217,361870.7
6/9/22,60,63.7,60,62.2,7,1031,63260.9
6/8/22,59.5,60,55.1,60,31,56395,3376244.4
6/7/22,61.4,61.4,58.4,59.5,32,36848,2194192.3
6/6/22,60,60.5,60,60,28,56741,3404893
6/3/22,60,61,60,60,20,13192,791858.5
6/2/22,60,61.9,60,60.1,16,8617,519965.6
6/1/22,60,60,60,60,14,23951,1437060
5/31/22,60,61,60,60.3,24,15290,917920
5/30/22,64,64,60,61.5,15,2297,141375.6
5/27/22,63,64.9,63,63.2,17,13263,839286.5
5/26/22,65,65,62,62,19,23304,1445900.3
5/25/22,62.6,64.7,62,62.4,26,12151,759147
5/24/22,64,67.5,63,63.1,20,11131,701924.5
5/23/22,63,67.8,62.6,64.5,20,29075,1838962.2
5/20/22,62,66,61,63.4,10,1696,106450.5
5/19/22,62,67.7,62,62.1,21,21624,1341366.5
5/18/22,63,68.6,62,64.2,24,14771,948372
5/17/22,63.5,67,63,63.1,30,56380,3557900
5/13/22,61.8,64.6,60,63.5,24,142458,8556553.4
5/12/22,60,61.2,60,60.5,11,1105,66799
5/9/22,60,61.2,57.1,60,13,5401,324059.4
5/6/22,58,60,57,59,17,7021,409458.3
5/5/22,59.6,60,59,59,18,29856,1762239.1
5/4/22,56,60,56,59.6,20,37809,2177850.6
4/29/22,60,60,55,55.9,72,266523,14900227.6
4/28/22,60,60,56,57.4,34,16369,947934.2
4/27/22,50.5,56.5,50.1,55.1,42,15542,846115.2
4/26/22,59.4,59.4,50.1,51.5,25,7755,438988.4
4/25/22,60,60,55,59.4,12,1163,69030
4/8/22,65,65,60,61.2,86,52634,3267595.4
4/7/22,72,72,65.1,65.7,45,28670,1892606.1
4/6/22,71.4,73,70,70,30,10260,721682
4/5/22,74,74,71,72.2,15,5015,358849.6
4/4/22,67,74,66,67.7,39,9425,636576
4/1/22,67,67,67,67,2,1507,100969
3/31/22,69.9,69.9,68,68.1,19,9947,677175
3/30/22,69.4,73,65,70.2,89,145727,9980981.7
3/29/22,76.2,76.2,68.5,69.4,76,29064,2064019.6
3/28/22,79,79,75,76.4,74,25547,1979158.8
3/25/22,80,80,79,79,59,64751,5153372
3/24/22,80.2,80.2,79.5,80,35,10257,817829.9
3/23/22,80.5,80.8,80.5,80.5,21,7142,575155
3/22/22,80.8,81,79.7,80.2,78,27775,2238340.9
3/21/22,80.2,80.7,79.7,80.1,45,25127,2009821.6
3/18/22,81,81.4,80.8,80.9,26,5681,460048.8
3/16/22,80.5,81.5,79.3,80.1,60,125275,10014342.4
3/15/22,83,83,80.1,80.2,58,49988,4013210.1
3/14/22,81.1,83,80.5,83,21,5871,477724.2
3/11/22,84,84,81.3,81.8,31,13722,1124939.4
3/10/22,83.8,83.9,80.3,83,68,18367,1507907.5
3/9/22,81.9,83.5,80.2,80.8,114,100697,8157805.9
3/8/22,85.1,85.4,82,82,102,50854,4203044.6
3/7/22,88,88,85,85.4,64,102569,8905279.1
3/4/22,88.5,88.5,85,87.9,54,10507,911859.8
3/3/22,89,90,88.5,88.8,35,68791,6176522.5
3/2/22,93.9,93.9,89.5,90,44,9515,857897
2/28/22,89,93.4,88.1,91.8,71,37277,3357681.7
2/25/22,85,89,85,88.7,49,16433,1442720.5
2/24/22,89,92.7,85,85.1,221,637986,56315395.1
2/23/22,90.2,91.1,87,90,179,356590,31813130.9
2/22/22,90.1,92.8,90,90.1,75,45859,4148028.2
2/21/22,95,95,90,90.9,197,98985,9122854.7
2/18/22,97,97,94.9,95.3,92,27001,2586197.4
2/17/22,99.3,99.9,96.6,97.2,76,40923,4017712
2/15/22,100,102,97,98.3,237,202038,20199510.65
2/14/22,96.9,99.2,95,96.8,89,62228,5968092.6
2/11/22,95,96.9,94.5,96,63,24884,2375622.9
2/10/22,95,95,92.2,94.1,110,82528,7798271.8
2/9/22,96.5,97.9,93,93.7,190,118156,11306754.7
2/8/22,100,100,96,97.3,120,55603,5419059.2
2/7/22,99,102,99,100,160,162304,16247061.05
2/3/22,93.9,103,93.6,98.1,105,40975,3956891.6
2/2/22,101,101,93.9,94.7,244,293441,28189466.7
2/1/22,97.3,104,96.5,98.6,125,127645,12629684.85
1/31/22,95.7,98,95.7,97.2,76,35410,3424715.7
1/28/22,98.5,99,92.8,95.1,291,206532,19726830.6
1/27/22,99,101.75,96.1,97.5,261,249811,24636850.25
1/26/22,103,103.5,98.1,99.5,257,206065,20549332.65
1/25/22,101.5,108.5,101.5,102.5,341,181868,18910710.75
1/24/22,104,104,100,102.25,253,138715,14129389.5
1/21/22,108.75,108.75,104,104.5,213,154162,16187868.5
1/20/22,111,111,105,106,260,211601,22773410.25
1/19/22,114.5,115,108.5,109.75,483,532815,59406334.25
1/18/22,104,118,104,111.25,1545,2267594,254046909.3
1/13/22,98,106,98,100.75,898,866651,89083802.75
1/12/22,97,99,96,97.1,204,398462,38823662.4
1/11/22,95.2,98.8,94.6,96.7,201,253350,24477654.2
1/10/22,97.5,97.5,95,96.4,123,126391,12151444.7
1/7/22,95,98.9,95,97.2,108,184583,17979134.7
1/6/22,97,98,94,94.9,140,264272,25216126.2
1/5/22,95,102.5,94,95.1,350,737182,70599587.3
1/4/22,93.5,94.9,92.2,94.1,73,36910,3451570.8
1/3/22,95.1,95.1,93,93.3,50,78774,7477465.2
12/31/21,91.2,95,91,93,81,118585,11141373.9
12/30/21,91,94,91,91.8,35,44387,4060214.5
12/29/21,91,94.8,90.5,92.4,67,125730,11474623.5
12/28/21,92.4,93,90,90.2,58,14517,1314561
12/27/21,92.9,94.9,90.8,92.4,72,40002,3694617.9
12/24/21,91.5,97.1,89.5,94.4,58,19913,1874525.5
12/23/21,90,93.9,89,89.3,101,34922,3141667.1
12/22/21,89.6,93.5,88.1,89.8,82,37891,3398476.1
12/21/21,90.2,91,88.5,89.5,133,63678,5689288.7
12/20/21,96.8,96.8,90.1,92.2,122,54901,5116838.5
12/17/21,98,98,93,95.1,135,66920,6370056.4
12/16/21,100,101,95,95.3,269,173952,17042959.15
12/15/21,94.4,102.5,94,99.1,799,1433867,142876561.8
12/14/21,95,96.8,92.9,94.5,667,851652,80988356.9
12/13/21,90,93.9,87,92.6,174,94384,8664423.7
12/10/21,89,93.9,89,90.9,108,83142,7629161.1
12/9/21,88,89.9,87.6,89,39,82533,7345885.9
12/8/21,89,91.8,87.1,87.5,44,72503,6497019.1
12/7/21,89.8,89.8,87,88.3,28,17774,1570545.8
12/6/21,89.5,90.8,88.1,88.9,55,27153,2428967.7
12/3/21,93,94,86.7,90.5,149,115580,10450214.8
12/2/21,85,90,84,88.1,139,76354,6618359.3
12/1/21,83.9,85.2,83.3,83.4,32,25729,2161375
11/30/21,84.9,84.9,83.5,83.9,17,3623,303859.9
11/29/21,84.2,87.5,83.2,84.2,35,24224,2038861.4
11/26/21,82.5,84.9,82.5,83.5,28,34689,2868070.5
11/25/21,82.5,83,82.5,82.6,46,25005,2073003.6
11/24/21,82.9,83.4,82.5,83.1,64,165815,13761808.1
11/23/21,83.9,84.1,82.8,83.4,46,41992,3497946.5
11/22/21,84,84,82.7,83,66,19881,1651042.7
11/19/21,85,85,83.9,84.1,26,4243,358626.4
11/17/21,85,85,82.5,84,72,49946,4170393.6
11/16/21,85,85,83.8,84.3,64,32182,2709505.7
11/15/21,85,86.9,83.1,84.5,88,59156,5020699.5
11/12/21,88,89.1,86,87.7,47,21465,1879757.2
11/11/21,87.8,92,87.8,89.1,29,9410,843533.7
11/10/21,88.7,88.7,86.5,87.4,43,25362,2202402.7
11/9/21,88.2,89,86.5,86.7,62,60779,5332308
11/8/21,90.2,92,87.5,88.2,99,53890,4817383.3
11/5/21,93,93,90.1,90.6,56,44163,4005204.4
11/3/21,86.5,101,86.5,92.9,419,682903,64756947.7
11/2/21,86.7,89,86.3,87,32,38365,3369206.4
11/1/21,89,89,86.2,86.6,29,17572,1525394.3
10/29/21,88.5,88.7,88.5,88.6,35,19102,1691364.3
10/28/21,88.8,90.9,86.2,89.4,107,133842,12022657.4
10/27/21,86,89,86,88.3,172,218871,19234204.2
10/26/21,85.5,85.9,84.2,85,55,50309,4280373.3
10/25/21,86,86,84.1,85.2,44,20777,1766506.5
10/22/21,84.5,85,83.7,84.8,35,15981,1350713.2
10/21/21,85,85.9,84.1,84.6,43,16547,1402965.3
10/18/21,83.8,84.9,83.5,84,24,12386,1036069.7
10/15/21,84,84.5,83.7,83.7,20,10581,886800.7
10/14/21,84.1,85,84,84.3,22,39393,3312272.2
10/13/21,83,83,82.6,83,14,2147,177593.2
10/12/21,85,86,82.6,83.6,47,23147,1969954.5
10/11/21,86,86,84.1,85,27,9947,847595.2
10/8/21,85.6,86.3,84,85.6,35,40870,3499730
10/7/21,86.5,86.9,85,86,89,76048,6532469.6
10/6/21,80.3,87.7,80.3,86.1,148,281387,23920641.2
10/5/21,82,82,80.2,81.1,22,7191,586574.7
10/4/21,80.6,81.7,80,80,66,43789,3504956
10/1/21,82,82,80.3,80.6,22,11355,927774.4
9/30/21,81,81.5,80,80.6,49,14452,1159965.6
9/29/21,80.5,81,80,80.1,174,85567,6854132.3
9/28/21,80.2,82,80.2,80.7,15,4567,366832.9
9/27/21,82.6,82.6,80.1,81.7,32,14207,1150003.3
9/24/21,82.6,83.2,80,80.1,71,34076,2740285.6
9/23/21,81,82.8,80,82.6,76,17905,1445273.3
9/22/21,82,82,80.2,80.4,15,1428,115283
9/21/21,80.2,82,80,81.9,26,4341,349442.4
9/17/21,81.5,81.5,80,80,78,24161,1939682.8
9/16/21,82,82,81.8,81.9,20,4493,368345
9/15/21,81.5,82.8,81.5,82.5,26,9228,760434.3
9/14/21,82.8,82.8,82,82,7,505,41477
9/13/21,83,83,80,80.1,58,128305,10277180.7
9/10/21,81,82.8,80,80.1,102,89177,7143530.3
9/9/21,83,83,82,82,11,2046,169307
9/8/21,80.1,84,80,80.1,109,104041,8339255.4
9/7/21,84.9,84.9,80,80.2,130,143905,11574250.4
9/6/21,83.5,84.9,82.9,83,42,35223,2925734.2
9/3/21,83.8,83.8,81.5,83.1,51,25398,2110181.1
9/2/21,81.3,85,81.3,83.8,65,26336,2193678.8
9/1/21,81,82,80,81.2,114,98136,7956573.7
8/31/21,82.1,82.9,81,81.5,105,37994,3095588.5
8/30/21,82.9,83,82,82.1,109,92951,7640438.1
8/27/21,85,85.2,82.9,83.1,101,70982,5934042.8
8/26/21,84.1,87,83.5,85.5,81,51320,4368497.5
8/25/21,82,88,82,85.1,92,28965,2454996.5
8/24/21,85,85,81.5,83.3,141,101639,8352525.7
8/23/21,84,84.9,81.7,82.1,114,50031,4108565.8
8/20/21,83.5,83.9,82,82.5,56,20056,1657996
8/19/21,83.5,83.5,81.6,81.9,119,87100,7144337.1
8/18/21,83.1,85,82.3,82.8,103,47612,3961287.7
8/17/21,84,85,82.9,83.2,95,57809,4838014.9
8/16/21,84.3,84.3,83,83.2,27,4258,354322.8
8/13/21,83,84.6,82.1,83.9,79,26635,2214412
8/12/21,86.1,87,83.5,84.5,78,20262,1714228.8
8/11/21,85.4,89,85.2,85.7,14,1398,119981.2
8/10/21,86.2,86.2,85,85.5,78,45019,3844164.6
8/9/21,87,88.6,86.5,87.3,64,28027,2445301.6
8/6/21,87.5,88,86,87.5,52,7055,613130.9
8/5/21,88.8,89,87,87.3,98,32221,2811543.7
8/4/21,89,89.9,88.5,89,33,8420,748031.9
8/3/21,91,91,88.5,89,83,87737,7818030.5
8/2/21,90,90.5,89.1,90,35,5268,471788.5
7/30/21,90.1,93.1,89.5,89.6,83,58671,5340510.4
7/29/21,90.5,93.8,89.5,89.9,52,55327,4993739.3
7/28/21,89.9,90,89,89.2,43,54680,4879341.7
7/27/21,89.5,90,89,89.1,42,24923,2230019.3
7/26/21,90.6,91,89.6,89.6,62,344038,31581871.4
7/22/21,90.1,92,90,90.1,74,44687,4025214.9
7/20/21,92.4,94.5,90.1,90.7,56,172446,15583634.2
7/19/21,90.5,92.4,90,91.2,90,42029,3821523.8
7/16/21,91.5,91.5,90.4,90.8,47,75656,6851439.5
7/15/21,90.4,91.5,90,90.8,95,104436,9474895
7/14/21,89.5,91,89.5,89.7,58,15024,1354044.5
7/13/21,89.5,91,89.5,89.7,53,13574,1216887
7/12/21,91,91,89.5,90.2,11,3580,322980
7/9/21,91,91,88.5,88.5,64,89428,7921909
7/8/21,90,91,89.8,90,41,17549,1579170.9
7/7/21,90,90,88.2,90,26,1815,161398.1
7/6/21,90,92,88.2,90,28,11121,999659.8
7/5/21,92.8,92.8,90,90.6,42,7618,690748.9
7/2/21,91,92.9,89,90.2,55,36099,3223172.9
7/1/21,91,94.8,90,90,116,56383,5110893.3
6/30/21,93.5,93.9,90,91.9,72,20715,1888838.3
6/29/21,95.6,96.4,93,94.3,65,18574,1764241
6/28/21,96.6,96.6,95,95.1,40,50898,4850753.1
6/25/21,96,97,94.2,95.3,30,10512,1008302.2
6/23/21,95.6,96,94.1,95.4,61,14656,1393188.6
6/22/21,100,100,96,96.2,129,63085,6171912.8
6/21/21,95.6,96.3,95.2,96,38,20389,1956497.7
6/18/21,95.4,96.5,95.4,95.6,50,39026,3732080.3
6/17/21,95.5,95.5,95.1,95.2,68,13676,1302463.9
6/16/21,96.4,96.4,95.1,95.6,26,7868,755508
6/15/21,95.5,96,95.1,96,56,39533,3784110.6
6/14/21,96,96,91,94.3,119,31848,2961191.1
6/11/21,95.1,96.8,94.3,95.4,71,71197,6788105.8
6/10/21,98,98,95,96,85,29238,2829263
6/9/21,97,99,95,96.1,132,56717,5521498.1
6/8/21,103,103,96.4,97.3,345,155785,15305315.3
6/7/21,88.2,104.75,88.2,100.25,1247,1206565,120015265
6/4/21,88,89,87.2,88,89,46479,4101606.7
6/3/21,87.5,88.5,85,87.8,157,177157,15505001.9
6/2/21,85,88,84.3,87.2,132,59392,5118417.6
6/1/21,85.2,86.7,84.3,85.4,52,14959,1281952.4
5/31/21,86.1,87,84.3,85.4,51,12424,1069092.5
5/28/21,84,86.8,83.8,86.1,176,185468,15680271.5
5/25/21,83,83.8,82.5,83,76,34549,2867304.2
5/24/21,82,83,81,81.6,101,131034,10675430.8
